,Product Name,Sale & Actual Price,Raview & Rattings,Offer,Camera,Memory,Battery,Display,Ratting Number
805,Kechaoda K9,"₹1,215₹1,59924% off","3,746 Ratings & 305 Reviews",24% off,0.3MP Rear Camera,32 MB RAM | 64 MB ROM | Expandable Upto 16 GB,1700 mAh Battery,6.1 cm (2.4 inch) QVGA Display,4.1
806,"REDMI 15C 5G (Moonlight Blue, 128 GB)","₹12,250₹14,99918% off",44 Ratings & 1 Reviews,18% off,50MP Rear Camera,4 GB RAM | 128 GB ROM,6000 mAh Battery,17.53 cm (6.9 inch) Display,4
807,"REDMI 13 5G (Orchid Pink, 128 GB)","₹14,974₹19,99925% off","15,051 Ratings & 790 Reviews",25% off,108MP Rear Camera,8 GB RAM | 128 GB ROM,5030 mAh Battery,17.25 cm (6.79 inch) Full HD+ Display,4.2
808,"POCO C61  - Locked with Airtel Prepaid (Mystical Green, 64 GB)","₹7,499₹8,99916% off","1,16,059 Ratings & 4,719 Reviews",16% off,8MP Rear Camera | 5MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,17.04 cm (6.71 inch) HD+ Display,4.1
809,"Samsung Galaxy M16 5G (Blush Pink, 128 GB)","₹13,499₹15,99915% off",559 Ratings & 20 Reviews,15% off,50MP Rear Camera,4 GB RAM | 128 GB ROM,5000 mAh Battery,17.02 cm (6.7 inch) Display,4.1
810,itel it5330 | 2.8 inch Big Display | 1900 mAh Battery | Kingvoice,"₹1,799","25,843 Ratings & 1,492 Reviews",No Offer,0.8MP + 0MP | 0MP Front Camera,32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,1900 mAh Battery,7.11 cm (2.8 inch) Quarter QVGA Display,4.1
811,"KARBONN K9 4G Dual SIM, 2.4""LCD,2000mAh Battery,Youtube,Facebook,2MP,SDCard upto128GB","₹2,498₹2,99016% off",23 Ratings & 1 Reviews,16% off,2MP + 0MP | 0MP Front Camera,64 MB RAM | 128 MB ROM | Expandable Upto 128 GB,2000 mAh Battery,6.1 cm (2.4 inch) FWVGA Display,4
812,itel it5330 | 2.8 inch Big Display | 1900 mAh Battery | Kingvoice,"₹1,799","25,843 Ratings & 1,492 Reviews",No Offer,0.8MP + 0MP | 0MP Front Camera,32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,1900 mAh Battery,7.11 cm (2.8 inch) Quarter QVGA Display,4.1
813,itel it5330 | 2.8 inch Big Display | 1900 mAh Battery | Kingvoice,"₹1,799","25,843 Ratings & 1,492 Reviews",No Offer,0.8MP + 0MP | 0MP Front Camera,32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,1900 mAh Battery,7.11 cm (2.8 inch) Quarter QVGA Display,4.1
814,"Samsung Galaxy S25 Ultra 5G (Titanium Silverblue, 256 GB)","₹1,08,988₹1,29,99916% off","2,594 Ratings & 262 Reviews",16% off,200MP + 50MP + 50MP + 10MP | 12MP Front Camera,12 GB RAM | 256 GB ROM,5000 mAh Battery,17.53 cm (6.9 inch) Quad HD+ Display,4.6
815,"vivo Y400 Pro 5G (Nebula Purple, 128 GB)","₹25,999₹29,99913% off","1,453 Ratings & 76 Reviews",13% off,50MP + 2MP | 32MP Front Camera,8 GB RAM | 128 GB ROM,5500 mAh Battery,17.2 cm (6.77 inch) Display,4.4
816,"Coolpad CP12 Neo (Blue, 64 GB)","₹7,299₹9,99927% off",,27% off,13MP Rear Camera | 5MP Front Camera,8 GB RAM | 64 GB ROM | Expandable Upto 512 GB,5000 mAh Battery,16.66 cm (6.56 inch) Display,
817,"vivo Y400 Pro 5G (Nebula Purple, 256 GB)","₹27,999₹31,99912% off","1,453 Ratings & 76 Reviews",12% off,50MP + 2MP | 32MP Front Camera,8 GB RAM | 256 GB ROM,5500 mAh Battery,17.2 cm (6.77 inch) Display,4.4
818,"REDMI 13 5G (Orchid Pink, 128 GB)","₹17,999","49,006 Ratings & 2,413 Reviews",No Offer,108MP Rear Camera,6 GB RAM | 128 GB ROM,5030 mAh Battery,17.25 cm (6.79 inch) Full HD+ Display,4.3
819,Kechaoda A26,"₹838₹1,39940% off","30,256 Ratings & 1,642 Reviews",40% off,800 mAh Battery,32 MB RAM | 32 MB ROM | Expandable Upto 16 GB,3 Months Company Warranty,1.68 cm (0.66 inch) FWVGA Display,4
820,"realme C73 5G (Onyx Black, 128 GB)","₹12,799₹13,9998% off","1,592 Ratings & 80 Reviews",8% off,32MP Rear Camera | 8MP Front Camera,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,6000 mAh Battery,16.94 cm (6.67 inch) HD+ Display,4.2
821,"Google Pixel 10 Pro (Moonstone, 256 GB)","₹1,09,999",386 Ratings & 34 Reviews,No Offer,48MP + 48MP + 48MP | 42MP Front Camera,16 GB RAM | 256 GB ROM,4870 mAh Battery,16.0 cm (6.3 inch) Quad HD+ Display,4.6
822,LAVA A5_23 Keypad Mobile| 1000 mAh Battery|0.3MP Rear Camera|Expandable Upto 32 GB,"₹987₹1,69941% off",501 Ratings & 19 Reviews,41% off,0.3MP Rear Camera,32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,1000 mAh Battery,6.1 cm (2.4 inch) QVGA Display,3.9
823,itel Ace2 Heera | King Talker | Auto Call Recording | Expendable Storage32GB,"₹865₹1,09921% off",355 Ratings & 19 Reviews,21% off,1000 mAh Battery,32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,1 year manufacturer Warranty,4.57 cm (1.8 inch) Display,4
824,"MOTOROLA Razr 60 (PANTONE Spring Bud, 256 GB)","₹49,999₹54,9999% off","2,163 Ratings & 154 Reviews",9% off,50MP + 13MP | 32MP Front Camera,8 GB RAM | 256 GB ROM,4500 mAh Battery,17.53 cm (6.9 inch) Full HD+ Display,4.4
825,Kechaoda K28 PRO,"₹1,249₹1,99937% off",310 Ratings & 17 Reviews,37% off,0.3MP Rear Camera,32 MB RAM | 64 MB ROM | Expandable Upto 16 GB,3000 mAh Battery,6.1 cm (2.4 inch) QVGA Display,3.8
826,"vivo Y19s 5G (Titanium Silver, 128.0 GB)","₹13,499₹15,99915% off",70 Ratings & 2 Reviews,15% off,13MP + 0.08MP | 5MP Front Camera,4 GB RAM | 128.0 GB ROM | Expandable Upto 2 TB,6000 mAh Battery,17.12 cm (6.74 inch) Display,4.4
827,"Samsung Galaxy M17 5G (Sapphire Black, 128 GB)","₹15,462₹19,49920% off",248 Ratings & 16 Reviews,20% off,50MP Rear Camera,6 GB RAM | 128 GB ROM,5000 mAh Battery,17.02 cm (6.7 inch) Display,4.4
828,"Samsung Galaxy M17 5G (Moonlight Silver, 128 GB)","₹15,347₹19,49921% off",248 Ratings & 16 Reviews,21% off,50MP Rear Camera,6 GB RAM | 128 GB ROM,5000 mAh Battery,17.02 cm (6.7 inch) Display,4.4
829,"realme C73 5G (Jade Green, 64 GB)","₹11,299₹12,99913% off","1,592 Ratings & 80 Reviews",13% off,32MP Rear Camera | 8MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,6000 mAh Battery,16.94 cm (6.67 inch) HD+ Display,4.2
830,"IQOO 15 5G (Alpha, 512 GB)","₹78,000₹83,9997% off",17 Ratings & 2 Reviews,7% off,50MP Rear Camera,16 GB RAM | 512 GB ROM,7000 mAh Battery,17.4 cm (6.85 inch) Display,4.6
831,"IQOO 15 5G (Legend, 512 GB)","₹78,000₹83,9997% off",17 Ratings & 2 Reviews,7% off,50MP Rear Camera,16 GB RAM | 512 GB ROM,7000 mAh Battery,17.4 cm (6.85 inch) Display,4.6
832,"Samsung Galaxy S25 Plus 5G (Navy, 256 GB)","₹74,999₹99,99925% off",353 Ratings & 44 Reviews,25% off,50MP + 10MP + 12MP | 12MP Front Camera,12 GB RAM | 256 GB ROM,4900 mAh Battery,17.02 cm (6.7 inch) Quad HD+ Display,4.7
833,"Samsung Galaxy M16 5G (Blush Pink, 128 GB)","₹14,499₹17,49917% off","1,271 Ratings & 61 Reviews",17% off,50MP Rear Camera,6 GB RAM | 128 GB ROM,5000 mAh Battery,17.02 cm (6.7 inch) Display,4.2
834,Samsung Metro SM-B313ez,"₹1,000₹1,99949% off","2,162 Ratings & 201 Reviews",49% off,0.3MP Rear Camera,Expandable Upto 16 GB,1000 mAh Battery,5.08 cm (2 inch) QVGA Display,3.1
835,"I Kall I6 Multimedia Mobile Phone - 2.4"" Display, 2500mAh Battery, Triple-Sim","₹854₹1,69949% off",25 Ratings & 0 Reviews,49% off,0.3MP Rear Camera,32 MB RAM | 32 MB ROM | Expandable Upto 8 GB,2500 mAh Battery,6.1 cm (2.4 inch) Display,3.8
836,"Ai+ Nova 5G (Black, 128 GB)","₹9,999₹12,99923% off","4,641 Ratings & 393 Reviews",23% off,50MP Rear Camera | 5MP Front Camera,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,17.13 cm (6.745 inch) HD+ Display,3.9
837,Samsung Metro 313,"₹2,461₹2,89915% off","13,139 Ratings & 993 Reviews",15% off,0.3MP Rear Camera,4 GB RAM | 2.27 MB ROM,1000 mAh Battery,5.08 cm (2 inch) Display,3
838,"OPPO Reno15 Pro Mini 5G (Cocoa Brown, 256 GB)","₹59,999₹64,9997% off",288 Ratings & 67 Reviews,7% off,200MP + 50MP + 50MP | Yes,12 GB RAM | 256 GB ROM,6200 mAh Battery,16.05 cm (6.32 inch) Full HD+ Display,4.7
839,"Nothing Phone (3a) Lite (White, 128 GB)","₹21,999₹22,9994% off",621 Ratings & 41 Reviews,4% off,50MP + 8MP + 2MP | 16MP Front Camera,8 GB RAM | 128 GB ROM,5000 mAh Lithium ion Battery,43.66 cm (17.19 cm) Full HD+ Display,4.4
840,"realme P4x 5G (Lake Green, 128 GB)","₹16,499₹17,9998% off","7,161 Ratings & 549 Reviews",8% off,50MP + 2MP | 8MP Front Camera,6 GB RAM | 128 GB ROM,7000 mAh Battery,17.07 cm (6.72 inch) Full HD+ Display,4.4
841,"Coolpad CP12 Neo (Gold, 64 GB)","₹7,299₹9,99927% off",,27% off,13MP Rear Camera | 5MP Front Camera,8 GB RAM | 64 GB ROM | Expandable Upto 512 GB,5000 mAh Battery,16.66 cm (6.56 inch) Display,
842,Samsung Metro 313,"₹2,461₹2,89915% off","13,139 Ratings & 993 Reviews",15% off,0.3MP Rear Camera,4 GB RAM | 2.27 MB ROM,1000 mAh Battery,5.08 cm (2 inch) Display,3
843,"KARBONN K9 4G Dual SIM, 2.4""LCD,2000mAh Battery,Youtube,Facebook,2MP,SDCard upto128GB","₹2,498₹2,99016% off",23 Ratings & 1 Reviews,16% off,2MP + 0MP | 0MP Front Camera,64 MB RAM | 128 MB ROM | Expandable Upto 128 GB,2000 mAh Battery,6.1 cm (2.4 inch) FWVGA Display,4
844,"REDMI Note 14 Pro 5G (Champagne Gold, 256 GB)","₹30,999","5,513 Ratings & 380 Reviews",No Offer,50MP + 8MP + 2MP | 20MP Front Camera,8 GB RAM | 256 GB ROM,5500 mAh Battery,16.94 cm (6.67 inch) Display,4.4
